,0,1,2,3,4,5
0,time,open,high,low,close,volume
240,2021-11-23 15:00:00,3555.98,3580.4,3554.28,3578.17,118159
241,2021-11-23 14:45:00,3555.87,3562.35,3554.0001,3557.1825,59840
242,2021-11-23 14:30:00,3560.39,3560.39,3546.56,3556.47,100370
243,2021-11-23 14:15:00,3556.43,3563.13,3552.01,3561.52,122953
244,2021-11-23 14:00:00,3537.85,3558.16,3537.85,3555.66,102434
245,2021-11-23 13:45:00,3541.29,3541.675,3527.71,3536.54,96413
246,2021-11-23 13:30:00,3545.84,3547.935,3541.0,3542.67,58643
247,2021-11-23 13:15:00,3541.9,3549.87,3540.01,3544.99,45525
248,2021-11-23 13:00:00,3543.41,3551.0,3539.61,3543.09,79594
249,2021-11-23 12:45:00,3553.19,3563.0499,3542.0001,3544.42,44669
250,2021-11-23 12:30:00,3537.2,3558.0,3537.2,3552.305,80024
251,2021-11-23 12:15:00,3553.93,3555.6,3537.61,3537.61,79844
252,2021-11-23 12:00:00,3552.2,3566.0,3548.38,3554.45,76274
253,2021-11-23 11:45:00,3562.0,3567.88,3552.01,3552.92,85116
254,2021-11-23 11:30:00,3551.32,3567.75,3547.41,3562.92,125313
255,2021-11-23 11:15:00,3547.525,3552.58,3529.15,3552.58,214141
256,2021-11-23 11:00:00,3555.05,3566.0,3545.09,3548.14,134081
257,2021-11-23 10:45:00,3561.5,3572.022,3552.37,3555.21,137549
258,2021-11-23 10:30:00,3566.84,3580.0,3561.01,3561.6706,111092
259,2021-11-23 10:15:00,3593.0,3595.09,3557.0,3564.53,202579
260,2021-11-23 10:00:00,3605.61,3618.0,3591.1501,3593.0,171893
261,2021-11-23 09:45:00,3585.04,3621.05,3562.24,3605.0,420791
262,2021-11-23 09:30:00,3574.98,3588.27,3572.5,3581.04,8360
263,2021-11-23 09:15:00,3575.06,3579.5941,3570.24,3572.0,4241
264,2021-11-23 09:00:00,3584.93,3587.0,3577.02,3577.74,7597
265,2021-11-23 08:45:00,3573.25,3578.0,3573.25,3577.7,2314
266,2021-11-23 08:30:00,3569.97,3577.9396,3569.84,3577.9396,4273
267,2021-11-23 08:15:00,3562.0,3565.0,3560.0,3562.0,2106
268,2021-11-23 08:00:00,3562.95,3562.95,3562.95,3562.95,314
269,2021-11-23 07:15:00,3559.55,3571.0,3559.55,3566.0,3473
270,2021-11-23 07:00:00,3552.89,3557.0,3552.89,3557.0,467
271,2021-11-23 06:45:00,3547.99,3548.0,3547.99,3548.0,472
272,2021-11-23 06:30:00,3545.0,3545.0,3545.0,3545.0,202
273,2021-11-23 06:15:00,3553.0,3553.0,3542.01,3542.01,747
274,2021-11-23 06:00:00,3556.5,3556.5,3556.5,3556.5,202
275,2021-11-23 05:45:00,3556.0,3556.0,3556.0,3556.0,158
276,2021-11-23 05:30:00,3558.0,3558.0,3558.0,3558.0,303
277,2021-11-23 05:15:00,3555.99,3558.0,3555.99,3558.0,1311
278,2021-11-23 05:00:00,3555.0,3555.0,3555.0,3555.0,486
279,2021-11-22 19:30:00,3575.0001,3575.0001,3575.0001,3575.0001,149
280,2021-11-22 19:15:00,3578.0,3578.03,3578.0,3578.03,504
281,2021-11-22 18:45:00,3578.01,3578.01,3578.01,3578.01,435
282,2021-11-22 18:30:00,3579.0,3579.0,3579.0,3579.0,444
283,2021-11-22 18:15:00,3578.16,3578.16,3577.0,3577.0,843
284,2021-11-22 17:00:00,3572.57,3578.2,3572.57,3578.2,4042
285,2021-11-22 16:45:00,3577.0,3579.0,3577.0,3579.0,2519
286,2021-11-22 16:30:00,3576.8,3579.57,3576.8,3578.0,34306
287,2021-11-22 16:15:00,3572.57,3577.0,3570.65,3577.0,39850
288,2021-11-22 16:00:00,3592.14,3598.65,3569.12,3572.83,344345
289,2021-11-22 15:45:00,3603.3855,3605.9,3590.0801,3590.0801,107605
290,2021-11-22 15:30:00,3612.21,3615.04,3602.24,3605.04,96445
291,2021-11-22 15:15:00,3612.4903,3623.1499,3611.45,3612.8817,99562
292,2021-11-22 15:00:00,3613.0,3616.0,3608.42,3612.82,80322
293,2021-11-22 14:45:00,3595.09,3613.0,3594.285,3612.01,103842
294,2021-11-22 14:30:00,3598.46,3603.48,3595.0,3595.19,71462
295,2021-11-22 14:15:00,3582.52,3597.077,3581.445,3597.077,58953
296,2021-11-22 14:00:00,3601.0101,3605.0,3580.64,3580.64,124123
297,2021-11-22 13:45:00,3597.14,3603.0,3592.81,3600.64,91429
298,2021-11-22 13:30:00,3587.2,3598.94,3586.735,3598.02,89037
299,2021-11-22 13:15:00,3588.23,3588.495,3578.0,3586.63,90786
300,2021-11-22 13:00:00,3592.72,3604.415,3585.0,3588.0,140626
301,2021-11-22 12:45:00,3575.17,3594.63,3571.65,3593.29,161091
302,2021-11-22 12:30:00,3586.66,3590.94,3567.5,3574.515,175000
303,2021-11-22 12:15:00,3587.56,3595.42,3582.03,3585.52,117103
304,2021-11-22 12:00:00,3607.94,3611.61,3577.58,3590.24,237205
305,2021-11-22 11:45:00,3608.14,3621.0,3604.0,3607.0,158153
306,2021-11-22 11:30:00,3611.885,3616.5795,3604.52,3609.51,176501
307,2021-11-22 11:15:00,3601.0,3614.45,3597.01,3609.85,228511
308,2021-11-22 11:00:00,3623.45,3624.16,3598.32,3601.91,254465
309,2021-11-22 10:45:00,3612.31,3634.0,3612.25,3624.41,207194
310,2021-11-22 10:30:00,3660.4675,3660.58,3613.0,3613.0,312268
311,2021-11-22 10:15:00,3670.14,3674.1684,3654.01,3661.08,221338
312,2021-11-22 10:00:00,3685.0,3699.3999,3667.82,3667.82,173402
313,2021-11-22 09:45:00,3676.3768,3713.455,3675.0,3685.27,435078
314,2021-11-22 09:30:00,3687.9,3691.72,3676.47,3676.47,14082
315,2021-11-22 09:15:00,3687.98,3687.98,3687.98,3687.98,939
316,2021-11-22 09:00:00,3685.0,3687.0,3682.17,3682.17,3967
317,2021-11-22 08:45:00,3684.5,3690.0,3684.5,3686.0,3989
318,2021-11-22 08:30:00,3685.0,3685.0,3681.02,3683.8,1714
319,2021-11-22 08:15:00,3692.4765,3695.95,3687.7,3688.0,4806
320,2021-11-22 08:00:00,3689.0,3689.0,3689.0,3689.0,411
321,2021-11-22 07:45:00,3692.0,3692.0,3689.0,3690.9,2739
322,2021-11-22 07:30:00,3690.0,3690.0,3689.4,3689.4,715
323,2021-11-22 07:15:00,3693.61,3695.94,3693.0,3695.11,3836
324,2021-11-22 07:00:00,3696.0,3696.0,3696.0,3696.0,430
325,2021-11-22 06:30:00,3696.0,3697.35,3696.0,3697.35,480
326,2021-11-22 05:00:00,3698.0,3698.0,3698.0,3698.0,200
327,2021-11-22 04:15:00,3688.15,3700.0,3688.15,3700.0,1413
328,2021-11-19 19:45:00,3672.0,3672.0,3672.0,3672.0,151
329,2021-11-19 19:15:00,3672.0,3672.0,3672.0,3672.0,130
330,2021-11-19 19:00:00,3672.0,3672.0,3672.0,3672.0,644
331,2021-11-19 18:15:00,3672.25,3672.25,3672.25,3672.25,429
332,2021-11-19 17:45:00,3672.0,3672.0,3672.0,3672.0,334
333,2021-11-19 17:30:00,3673.0,3676.57,3672.0,3672.25,2271
334,2021-11-19 17:15:00,3672.07,3672.5,3672.07,3672.5,402
335,2021-11-19 17:00:00,3672.01,3676.57,3672.01,3672.2,2536
336,2021-11-19 16:45:00,3673.0,3676.57,3672.0,3672.5,5672
337,2021-11-19 16:30:00,3673.62,3676.57,3672.0,3672.5,19693
338,2021-11-19 16:15:00,3676.57,3676.57,3674.69,3674.69,234514
339,2021-11-19 16:00:00,3687.31,3690.1599,3675.72,3676.82,249795
340,2021-11-19 15:45:00,3685.9564,3689.66,3677.0,3686.981,167630
341,2021-11-19 15:30:00,3694.23,3697.65,3686.0,3686.02,102377
342,2021-11-19 15:15:00,3703.15,3703.45,3694.34,3695.691,95122
343,2021-11-19 15:00:00,3707.13,3708.36,3698.44,3701.0,78132
344,2021-11-19 14:45:00,3713.825,3718.32,3702.61,3708.1,97163
345,2021-11-19 14:30:00,3714.52,3720.5221,3711.4201,3713.3605,112054
346,2021-11-19 14:15:00,3714.41,3716.2199,3704.5286,3714.56,81995
347,2021-11-19 14:00:00,3704.99,3714.9,3703.04,3713.3075,112099
348,2021-11-19 13:45:00,3686.695,3704.865,3686.695,3704.39,150986
349,2021-11-19 13:30:00,3718.99,3719.49,3682.6801,3687.49,216720
350,2021-11-19 13:15:00,3724.02,3727.96,3717.5,3718.3,77267
351,2021-11-19 13:00:00,3731.1775,3731.2727,3715.8026,3723.21,129630
352,2021-11-19 12:45:00,3745.025,3747.7909,3726.05,3731.235,98484
353,2021-11-19 12:30:00,3743.28,3747.47,3737.655,3745.5,84501
354,2021-11-19 12:15:00,3753.385,3756.15,3741.2464,3744.99,105485
355,2021-11-19 12:00:00,3753.1875,3762.145,3751.45,3754.48,184334
356,2021-11-19 11:45:00,3754.12,3757.0,3747.794,3753.18,112767
357,2021-11-19 11:30:00,3749.44,3759.6696,3746.35,3752.195,145512
358,2021-11-19 11:15:00,3742.075,3755.87,3740.48,3749.4399,165574
359,2021-11-19 11:00:00,3741.005,3744.6447,3731.31,3741.97,102041
360,2021-11-19 10:45:00,3733.195,3745.0,3726.5571,3740.71,132994
361,2021-11-19 10:30:00,3730.8012,3748.85,3725.51,3733.67,203718
362,2021-11-19 10:15:00,3756.19,3756.19,3718.0,3731.5,336631
363,2021-11-19 10:00:00,3748.01,3756.9,3735.84,3754.91,305512
364,2021-11-19 09:45:00,3712.69,3749.72,3705.18,3748.52,779517
365,2021-11-19 09:30:00,3709.0,3718.0,3707.11,3709.14,26029
